trial_id,model,A_word,B_word,A_len,B_len,A_popularity,B_popularity,A_upos,B_upos,A_domain,B_domain,A_abstraction,B_abstraction,A_polysemy,B_polysemy,identity_success,prompt,raw_response,parsed_answer
64,gpt-5,shithead,avoidable,0.375000,0.437500,0.298466,0.401528,NOUN,ADJ,noun.person,adj.all,0.315000,0.197500,0.000000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

shithead : shithead :: avoidable : ____",ANSWER: voidable,voidable
65,gpt-5,charging,finisher,0.375000,0.375000,0.892078,0.516850,VERB,NOUN,verb.creation,noun.animal,0.585000,0.455000,1.000000,0.500000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

charging : charging :: finisher : ____",ANSWER: closer,closer
66,gpt-5,hatchback,brutality,0.437500,0.437500,0.406388,0.741455,NOUN,NOUN,noun.artifact,noun.act,0.870000,0.370000,0.100000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

hatchback : hatchback :: brutality : ____",ANSWER: brutality,brutality
67,gpt-5,petition,process,0.375000,0.312500,0.913638,0.989000,NOUN,NOUN,noun.communication,noun.Tops,0.780000,0.482500,0.200000,1.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

petition : petition :: process : ____",ANSWER: process,process
68,gpt-5,organically,employ,0.562500,0.250000,0.440969,0.848857,ADV,NOUN,adv.all,noun.state,0.415000,0.352500,0.200000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

organically : organically :: employ : ____",ANSWER: employ,employ
69,gpt-5,stroke,telepathy,0.250000,0.437500,0.908918,0.322486,NOUN,NOUN,noun.event,noun.communication,0.775000,0.292500,1.000000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

stroke : stroke :: telepathy : ____",ANSWER: mind,mind
70,gpt-5,creative,max,0.375000,0.062500,0.950499,0.955579,ADJ,NOUN,adj.all,noun.artifact,0.232500,0.295000,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

creative : creative :: max : ____",ANSWER: max,max
71,gpt-5,airport,agonizing,0.312500,0.437500,0.969699,0.416908,NOUN,VERB,noun.artifact,verb.emotion,0.967500,0.250000,0.000000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

airport : airport :: agonizing : ____",ANSWER: agonising,agonising
72,gpt-5,fiduciary,impenetrable,0.437500,0.625000,0.457029,0.470649,ADJ,ADJ,adj.pert,adj.all,0.345000,0.405000,0.100000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fiduciary : fiduciary :: impenetrable : ____",ANSWER: impenetrability,impenetrability
73,gpt-5,raft,coincidence,0.125000,0.562500,0.682174,0.849177,NOUN,NOUN,noun.quantity,noun.event,1.000000,0.142500,0.400000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

raft : raft :: coincidence : ____",ANSWER: incidence,incidence
74,gpt-5,spear,brutality,0.187500,0.437500,0.774095,0.741455,NOUN,NOUN,noun.artifact,noun.act,1.000000,0.370000,0.300000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

spear : spear :: brutality : ____",ANSWER: brutalize,brutalize
75,gpt-5,shortly,crescendo,0.312500,0.437500,0.936119,0.286546,ADV,NOUN,adv.all,noun.attribute,0.327500,0.510000,0.400000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

shortly : shortly :: crescendo : ____",ANSWER: crescendo,crescendo
76,gpt-5,does,nut,0.125000,0.062500,0.996480,0.865717,VERB,NOUN,verb.creation,noun.artifact,0.310000,0.880000,1.000000,0.700000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

does : does :: nut : ____",ANSWER: nuts,nuts
77,gpt-5,imaginary,reading,0.437500,0.312500,0.804676,0.984960,ADJ,NOUN,adj.all,noun.cognition,0.185000,0.677500,0.100000,1.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

imaginary : imaginary :: reading : ____",ANSWER: reading,reading
78,gpt-5,guacamole,appointee,0.437500,0.437500,0.351567,0.329727,NOUN,NOUN,noun.food,noun.person,0.972500,0.625000,0.000000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

guacamole : guacamole :: appointee : ____",ANSWER: appointees,appointees
79,gpt-5,paparazzi,engraving,0.437500,0.437500,0.556631,0.613492,NOUN,VERB,noun.person,verb.creation,0.777500,0.820000,0.000000,0.600000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

paparazzi : paparazzi :: engraving : ____",ANSWER: graffiti,graffiti
80,gpt-5,fired,bolt,0.187500,0.125000,0.953099,0.866837,VERB,NOUN,verb.competition,noun.phenomenon,0.370000,0.917500,0.900000,1.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fired : fired :: bolt : ____",ANSWER: bolted,bolted
81,gpt-5,fullback,loan,0.375000,0.125000,0.563931,0.957659,NOUN,NOUN,noun.person,noun.communication,0.750000,0.680000,0.200000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fullback : fullback :: loan : ____",ANSWER: loan,loan
82,gpt-5,fallible,fine,0.375000,0.125000,0.013480,0.988300,ADJ,NOUN,adj.all,noun.possession,0.240000,0.402500,0.100000,0.900000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fallible : fallible :: fine : ____",ANSWER: fine,fine
83,gpt-5,fallback,hypothesis,0.375000,0.500000,0.127283,0.826457,NOUN,NOUN,noun.act,noun.cognition,0.287500,0.280000,0.000000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fallback : fallback :: hypothesis : ____",ANSWER: hypothesis,hypothesis
84,gpt-5,baroness,combo,0.375000,0.187500,0.649073,0.808316,NOUN,NOUN,noun.person,noun.group,0.730000,0.592500,0.000000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

baroness : baroness :: combo : ____",ANSWER: comboh,comboh
85,gpt-5,illegally,veil,0.437500,0.125000,0.826437,0.760135,ADV,NOUN,adv.all,noun.plant,0.232500,0.862500,0.000000,0.500000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

illegally : illegally :: veil : ____",ANSWER: veil,veil
86,gpt-5,exertion,landowner,0.375000,0.437500,0.344007,0.497710,NOUN,NOUN,noun.act,noun.person,0.360000,0.822500,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

exertion : exertion :: landowner : ____",ANSWER: landowner,landowner
87,gpt-5,figuratively,hardly,0.625000,0.250000,0.406908,0.943339,ADV,ADV,adv.all,adv.all,0.052500,0.155000,0.000000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

figuratively : figuratively :: hardly : ____",ANSWER: barely,barely
88,gpt-5,wiggle,restlessness,0.250000,0.625000,0.583692,0.256005,NOUN,NOUN,noun.act,noun.state,0.732500,0.330000,0.100000,0.300000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

wiggle : wiggle :: restlessness : ____",ANSWER: restlessness,restlessness
89,gpt-5,livery,temptation,0.250000,0.500000,0.490870,0.781096,NOUN,NOUN,noun.act,noun.cognition,0.717500,0.210000,0.300000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

livery : livery :: temptation : ____",ANSWER: attemptation,attemptation
90,gpt-5,pizzeria,artistry,0.375000,0.375000,0.315466,0.506790,NOUN,NOUN,noun.artifact,noun.cognition,0.890000,0.250000,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

pizzeria : pizzeria :: artistry : ____",ANSWER: artistry,artistry
91,gpt-5,drew,browse,0.125000,0.250000,0.935499,0.737835,NOUN,NOUN,noun.person,noun.act,0.542500,0.517500,1.000000,0.600000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

drew : drew :: browse : ____",ANSWER: browse,browse
92,gpt-5,sensuous,daily,0.375000,0.187500,0.246385,0.982040,ADJ,ADJ,adj.all,adj.all,0.225000,0.537500,0.000000,0.400000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sensuous : sensuous :: daily : ____",ANSWER: daily,daily
93,gpt-5,backpacker,serve,0.500000,0.187500,0.107382,0.969979,NOUN,NOUN,noun.person,noun.act,0.972500,0.695000,0.000000,1.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

backpacker : backpacker :: serve : ____",ANSWER: serve,serve
94,gpt-5,bonding,defibrillator,0.312500,0.687500,0.769795,0.128043,NOUN,NOUN,noun.act,noun.artifact,0.370000,0.920000,0.600000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

bonding : bonding :: defibrillator : ____",ANSWER: defibrillator,defibrillator
95,gpt-5,collector,victimization,0.437500,0.687500,0.837397,0.272185,NOUN,NOUN,noun.artifact,noun.act,0.775000,0.225000,0.300000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

collector : collector :: victimization : ____",ANSWER: victimisation,victimisation
96,gpt-5,lift,debris,0.125000,0.250000,0.939899,0.839577,NOUN,NOUN,noun.artifact,noun.substance,0.722500,0.922500,1.000000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

lift : lift :: debris : ____",ANSWER: refuse,refuse
97,gpt-5,irritable,premises,0.437500,0.375000,0.483910,0.860997,ADJ,NOUN,adj.all,noun.location,0.287500,0.550000,0.200000,0.400000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

irritable : irritable :: premises : ____",ANSWER: premises,premises
98,gpt-5,integration,stork,0.562500,0.187500,0.900918,0.322806,NOUN,NOUN,noun.act,noun.animal,0.222500,0.930000,0.200000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

integration : integration :: stork : ____",ANSWER: stork,stork
99,gpt-5,assistive,aftermath,0.437500,0.437500,0.038541,0.835377,ADJ,NOUN,adj.all,noun.phenomenon,0.260000,0.242500,0.000000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

assistive : assistive :: aftermath : ____",ANSWER: aftermath,aftermath
100,gpt-5,politically,phobia,0.562500,0.250000,0.870017,0.489430,ADV,NOUN,adv.all,noun.state,0.222500,0.275000,0.100000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

politically : politically :: phobia : ____",ANSWER: phobically,phobically
