triple_id,relation_key,A,B,C
164,class_inclusion,sport,golf,craftsmen
165,class_inclusion,analysis,explanation,soap
166,class_inclusion,crafts,knitting,craftsmen
167,class_inclusion,craftsmen,blacksmith,tier
168,class_inclusion,basket,picnic-basket,hat
169,class_inclusion,tier,premium,charts
170,class_inclusion,outfit,swimwear,table
171,class_inclusion,charts,bar-chart,section
172,class_inclusion,lakes,Superior,section
173,class_inclusion,situation,first-date,outfit
174,class_inclusion,transportation,train,crafts
175,class_inclusion,table,bedside,basket
176,class_inclusion,action,exit,tribes
177,class_inclusion,situation,interview,dimension
178,class_inclusion,lakes,Eerie,analysis
179,class_inclusion,table,picnic-table,monitor
180,class_inclusion,attachment,file,storage
181,class_inclusion,exchanges,transaction,skirt
182,class_inclusion,tier,entry-level,capability
183,class_inclusion,regimes,Taliban,chemical
184,class_inclusion,story,myth,analysis
185,class_inclusion,transportation,bicycle,action
186,class_inclusion,education,highschool,charts
187,class_inclusion,education,college,disasters
188,class_inclusion,action,flee,skirt
189,class_inclusion,story,legend,toes
190,class_inclusion,dimension,time,relationship
191,class_inclusion,organs,heart,label
192,class_inclusion,religion,Catholicism,harm
193,class_inclusion,fitness,cardiovascular,harm
194,class_inclusion,education,elementary,section
195,class_inclusion,situation,emergency,display
196,class_inclusion,charts,pie-chart,chemical
197,class_inclusion,action,laughing,relative
198,class_inclusion,attachment,button,lakes
199,class_inclusion,instrumentation,brass,toes
200,class_inclusion,turtles,snapping,soap
201,contrast,intellectual,stupid,functional
202,contrast,defend,attack,contracts
203,contrast,lies,truths,rejects
204,contrast,broke,rich,direct
205,contrast,silence,noise,advances
206,contrast,broke,fixed,applied
207,contrast,encouraging,discouraging,utility
208,contrast,contracts,expands,functional
209,contrast,stays,leaves,encouraging
210,contrast,broken,amended,wisdom
211,contrast,starts,ends,preserved
212,contrast,feminine,masculine,contracts
213,contrast,rejects,accepts,advanced
214,contrast,depart,stay,ending
215,contrast,preserved,wasted,straight
216,contrast,harder,easier,familiar
217,contrast,forgotten,remembered,withdraw
218,contrast,smooth,rough,ending
219,contrast,growth,shrinkage,fat
220,contrast,equals,approximates,growth
221,contrast,concentrated,dispersed,silence
222,contrast,familiar,foreign,tired
223,contrast,advances,retracts,keeping
224,contrast,upwards,downwards,lesser
225,contrast,growth,plateau,permits
226,contrast,growth,decline,advanced
227,contrast,advances,setbacks,familiar
228,contrast,functional,broken,utility
229,contrast,harder,easier,defend
230,contrast,smooth,choppy,lying
231,contrast,broken,new,harder
232,contrast,smooth,difficult,defend
233,contrast,concentrated,goofed-off,advances
234,contrast,breaks,accelerates,ending
235,contrast,enlarged,shrunk,specialized
236,contrast,upwards,declined,harder
237,contrast,specialized,generalized,forgotten
238,contrast,forgotten,reminded,advanced
239,contrast,broke,wealthy,plain
240,contrast,advances,obstacles,harder
241,contrast,depart,come,functional
242,contrast,encouraging,demoralizing,enlarged
243,contrast,functional,faulty,lies
244,contrast,growth,stagnation,familiar
245,contrast,intellectual,idiotic,rejects
246,contrast,ending,beginning,defend
247,contrast,tired,energetic,broke
248,contrast,plain,detailed,applied
249,contrast,goodness,evil,intellectual
250,contrast,keeping,leaving,lesser
251,non_attribute,gibberish,sensical,terror
252,non_attribute,athlete,overweight,injustices
253,non_attribute,heights,shallow,zombies
254,non_attribute,enemies,friendly,junior
255,non_attribute,cookie,spicy,land
256,non_attribute,loves,hateful,dwarfs
257,non_attribute,overheating,cool,junior
258,non_attribute,nervousness,calm,gibberish
259,non_attribute,error,correct,fairytale
260,non_attribute,mistakes,accurate,terror
261,non_attribute,cookie,frozen,fluid
262,non_attribute,injustices,fair,tornado
263,non_attribute,excitement,collected,bang
264,non_attribute,routine,new,skyscraper
265,non_attribute,rains,dry,trash
266,non_attribute,bang,quiet,relic
267,non_attribute,athlete,unathletic,weights
268,non_attribute,land,liquid,rains
269,non_attribute,fairytale,true,athlete
270,non_attribute,fossils,modern,dwarfs
271,non_attribute,trash,clean,dust
272,non_attribute,dwarfs,tall,injustices
273,non_attribute,diamonds,rusted,relic
274,non_attribute,boiler,chilled,mistakes
275,non_attribute,dust,clean,skyscraper
276,non_attribute,alarm,soft,relic
277,non_attribute,loves,resentful,nervousness
278,non_attribute,disinformation,real,torpedo
279,non_attribute,dust,prestine,silk
280,non_attribute,routine,novel,germ
281,non_attribute,mistakes,correct,fires
282,non_attribute,fossils,new,errors
283,non_attribute,torpedo,sluggish,disinformation
284,non_attribute,ovens,frozen,mistakes
285,non_attribute,bang,peaceful,skyscraper
286,non_attribute,tornado,still,overheating
287,non_attribute,gibberish,english,tornado
288,non_attribute,excitement,bored,sunroof
289,non_attribute,air,wet,disinformation
290,non_attribute,riches,broke,dust
291,non_attribute,dwarfs,giant,enemies
292,non_attribute,rains,dehydrated,smiles
293,non_attribute,spark,dull,diamonds
294,non_attribute,routine,exhilarating,zombies
295,non_attribute,weights,light,routine
296,non_attribute,cookie,inedible,silk
297,non_attribute,fairytale,truthful,torpedo
298,non_attribute,germ,clean,blues
299,non_attribute,whales,miniscule,loves
300,non_attribute,blossom,wintry,bang
301,part_whole,midwest,Illinois,analysis
302,part_whole,basket,handle,tomb
303,part_whole,profile,bio,prison
304,part_whole,scissors,blade,gym
305,part_whole,chicken,thigh,gym
306,part_whole,instrumentation,percussion,outfit
307,part_whole,evaluation,question,crafts
308,part_whole,militia,soldier,church
309,part_whole,tomb,stone,table
310,part_whole,tomb,casket,arrows
311,part_whole,arrows,arrowhead,prison
312,part_whole,crafts,material,profile
313,part_whole,basket,rim,midwest
314,part_whole,demonstration,example,countryside
315,part_whole,galaxy,Earth,countryside
316,part_whole,transportation,vehicle,telescope
317,part_whole,storage,box,labour
318,part_whole,maps,legend,cabinet
319,part_whole,furnace,boiler,chicken
320,part_whole,portfolio,paper,basket
321,part_whole,evaluation,rating,transportation
322,part_whole,skirt,waistband,furnace
323,part_whole,labour,laborer,radiator
324,part_whole,education,class,conference
325,part_whole,organs,lungs,storage
326,part_whole,church,pastor,organs
327,part_whole,labour,worker,spacecraft
328,part_whole,resume,job,tomb
329,part_whole,knight,helmet,church
330,part_whole,cow,udder,labour
331,part_whole,countryside,plain,telescope
332,part_whole,maps,scale,labour
333,part_whole,subway,sandwich,midwest
334,part_whole,evaluation,conclusion,radiator
335,part_whole,earth,sea,radiator
336,part_whole,labour,job,church
337,part_whole,earth,land,evaluation
338,part_whole,storage,site,worm
339,part_whole,analysis,description,portfolio
340,part_whole,galaxy,planet,cabinet
341,part_whole,scissors,handle,analysis
342,part_whole,militia,commander,earth
343,part_whole,analysis,unit,demonstration
344,part_whole,basket,exterior,story
345,part_whole,catalogue,item,demonstration
346,part_whole,catalogue,record,conference
347,part_whole,storage,shelf,spacecraft
348,part_whole,church,steeple,arrows
349,part_whole,labour,boss,basket
350,part_whole,storage,compartment,radish
351,reference,deal,agreement,marker
352,reference,news,event,questionnaires
353,reference,pronoun,object,listing
354,reference,kilometers,distance,listing
355,reference,catalog,items,kilometers
356,reference,estimates,quantities,flashback
357,reference,census,population,memoir
358,reference,likeness,person,agendas
359,reference,news,incidence,motif
360,reference,prizes,accomplishment,symbols
361,reference,symbols,entity,handshake
362,reference,calendars,date,capsule
363,reference,notes,material,report
364,reference,coupon,discount,brand
365,reference,bets,opinion,diagram
366,reference,symbols,objects,passports
367,reference,marker,position,ambassadors
368,reference,discography,artist,writings
369,reference,certifications,qualifications,handshake
370,reference,token,value,agendas
371,reference,listing,property,catalog
372,reference,badge,achievement,flashback
373,reference,flashback,event,polls
374,reference,questionnaires,opinion,coupon
375,reference,handshake,agreement,symbols
376,reference,vouchers,discount,marker
377,reference,units,quantities,labels
378,reference,token,object,bets
379,reference,debt,value,bets
380,reference,agendas,schedules,news
381,reference,questionnaires,population,diagram
382,reference,listing,item,sirens
383,reference,memoir,story,prizes
384,reference,representatives,referent,estimates
385,reference,catalog,list,likeness
386,reference,likeness,face,plan
387,reference,vouchers,credit,certifications
388,reference,passports,person,blueprint
389,reference,symbols,concepts,address
390,reference,address,location,polls
391,reference,diagram,system,writings
392,reference,disciplines,ideas,coupon
393,reference,report,event,motif
394,reference,polls,opinions,ambassadors
395,reference,brand,style,diagram
396,reference,news,story,sirens
397,reference,coupon,discount,badge
398,reference,coupon,deal,syllabus
399,reference,estimates,valuations,symbols
400,reference,badge,accomplishment,estimates
401,similar,goodbye,farewell,awful
402,similar,exchanged,gave,warning
403,similar,creature,animal,buck
404,similar,estimate,guess,nicer
405,similar,pinnacle,top,collection
406,similar,fathers,dads,presents
407,similar,breaking,snapping,induced
408,similar,pretend,play,estimate
409,similar,sprung,jumped,classes
410,similar,prize,winning,buck
411,similar,predicted,guessed,instant
412,similar,instant,second,bothers
413,similar,preserve,store,predicted
414,similar,wounded,hurt,nicer
415,similar,amazing,great,presented
416,similar,preserve,keep,breaking
417,similar,beauty,grace,bothers
418,similar,wondering,pondering,classes
419,similar,preserve,jelly,tough
420,similar,bells,jingles,picked
421,similar,notions,ideas,fathers
422,similar,bothers,annoys,estimate
423,similar,marked,wrote,picked
424,similar,warning,alarm,icy
425,similar,nicer,kinder,upsetting
426,similar,warning,alert,pinnacle
427,similar,teaching,educating,instant
428,similar,beauty,elegance,delight
429,similar,pretend,fake,prize
430,similar,yell,scream,sprung
431,similar,wounded,injured,soften
432,similar,outstanding,fantastic,sprung
433,similar,functioning,working,wondering
434,similar,amazing,splended,teaching
435,similar,tough,chewy,pretend
436,similar,preserve,jam,warning
437,similar,collect,gather,bothers
438,similar,fathers,parents,prize
439,similar,delight,joy,involved
440,similar,classes,courses,presented
441,similar,estimate,conjecture,delight
442,similar,collection,group,predicted
443,similar,classes,seminars,irritation
444,similar,presents,showcases,beast
445,similar,bothers,irritates,classes
446,similar,teaching,instructing,classes
447,similar,awful,terrible,functioning
448,similar,sprung,emerged,notions
449,similar,notions,concepts,prize
450,similar,upsetting,disturbing,predicted
451,space_time,kansas,field,holiday
452,space_time,rivers,water,oxford
453,space_time,woods,tree,carnival
454,space_time,conferences,session,cave
455,space_time,holidays,present,clinics
456,space_time,daytime,sunlight,lakes
457,space_time,colleges,building,manhattan
458,space_time,residence,kitchen,space
459,space_time,caribbean,island,paradise
460,space_time,lakes,water,graveyard
461,space_time,lakes,wildlife,nights
462,space_time,village,hut,dock
463,space_time,village,road,cities
464,space_time,dock,plank,wartime
465,space_time,conferences,talk,outdoors
466,space_time,heaven,angel,subway
467,space_time,village,villager,colleges
468,space_time,space,asteroid,greece
469,space_time,weekends,Sautrday,outdoors
470,space_time,metropolis,skyscraper,pier
471,space_time,clinics,doctor,graveyard
472,space_time,conferences,keynotes,space
473,space_time,cities,streets,savannah
474,space_time,conferences,meetings,village
475,space_time,metropolis,tower,hells
476,space_time,wartime,weapon,holiday
477,space_time,meeting,notes,conferences
478,space_time,hells,heat,meeting
479,space_time,greece,island,cities
480,space_time,neighborhoods,homes,holidays
481,space_time,woods,wildlife,colleges
482,space_time,woods,leaves,lakes
483,space_time,pier,boat,dusk
484,space_time,graveyard,tomb,homes
485,space_time,colleges,classes,autumn
486,space_time,disneyland,rides,clinics
487,space_time,weekends,relaxation,hells
488,space_time,woods,deer,village
489,space_time,colleges,professors,dock
490,space_time,daytime,sun,holidays
491,space_time,nights,darkness,dusk
492,space_time,hells,devil,pier
493,space_time,disneyland,lines,lakes
494,space_time,clinics,patient,nights
495,space_time,carnival,ride,weekends
496,space_time,carnival,ferris-wheel,residence
497,space_time,paradise,bliss,afternoon
498,space_time,morning,sun,subway
499,space_time,kansas,farm,resorts
500,space_time,nights,blackness,venice
