participant_id,item_order,cycle,triple_id,relation_key,A,B,C
3,2,2,364,reference,coupon,discount,brand
3,3,2,91,case_relations,traveler,flight,crabs
3,4,3,306,part_whole,instrumentation,percussion,outfit
3,5,1,19,attribute,parties,fun,dish
3,6,2,128,cause_purpose,band,music,weapons
3,7,1,298,non_attribute,germ,clean,blues
3,8,1,402,similar,exchanged,gave,warning
3,9,2,386,reference,likeness,face,plan
3,10,3,282,non_attribute,fossils,new,errors
3,11,1,281,non_attribute,mistakes,correct,fires
3,12,2,307,part_whole,evaluation,question,crafts
3,13,3,181,class_inclusion,exchanges,transaction,skirt
3,14,1,437,similar,collect,gather,bothers
3,15,2,37,attribute,squirrel,furry,air
3,16,1,358,reference,likeness,person,agendas
3,17,2,139,cause_purpose,tornado,alerts,academics
3,18,3,74,case_relations,stamping,letter,competitors
3,19,1,27,attribute,scooter,electronic,woods
3,20,3,378,reference,token,object,bets
4,1,2,429,similar,pretend,fake,prize
4,2,1,475,space_time,metropolis,tower,hells
4,3,2,297,non_attribute,fairytale,truthful,torpedo
4,4,3,269,non_attribute,fairytale,true,athlete
4,5,2,457,space_time,colleges,building,manhattan
4,6,3,488,space_time,woods,deer,village
4,7,3,163,class_inclusion,exams,pop-quiz,poll
4,8,2,174,class_inclusion,transportation,train,crafts
4,9,2,279,non_attribute,dust,prestine,silk
4,10,2,264,non_attribute,routine,new,skyscraper
4,11,3,135,cause_purpose,tornado,wind,booklet
4,12,3,314,part_whole,demonstration,example,countryside
4,13,3,299,non_attribute,whales,miniscule,loves
4,14,1,280,non_attribute,routine,novel,germ
4,15,1,479,space_time,greece,island,cities
4,16,3,150,cause_purpose,microwaves,heat,snowing
4,17,1,236,contrast,upwards,declined,harder
4,18,1,139,cause_purpose,tornado,alerts,academics
4,19,1,154,class_inclusion,wines,Cabernet,capability
4,20,2,340,part_whole,galaxy,planet,cabinet
5,1,1,394,reference,polls,opinions,ambassadors
5,2,2,300,non_attribute,blossom,wintry,bang
5,3,1,260,non_attribute,mistakes,accurate,terror
5,4,3,134,cause_purpose,kettle,heat,sickness
5,5,3,324,part_whole,education,class,conference
5,6,2,313,part_whole,basket,rim,midwest
5,7,3,479,space_time,greece,island,cities
5,8,2,445,similar,bothers,irritates,classes
5,9,1,174,class_inclusion,transportation,train,crafts
5,10,3,369,reference,certifications,qualifications,handshake
5,11,2,194,class_inclusion,education,elementary,section
5,12,3,442,similar,collection,group,predicted
5,13,1,409,similar,sprung,jumped,classes
5,14,1,456,space_time,daytime,sunlight,lakes
5,15,1,274,non_attribute,boiler,chilled,mistakes
5,16,3,322,part_whole,skirt,waistband,furnace
5,17,3,139,cause_purpose,tornado,alerts,academics
5,18,1,481,space_time,woods,wildlife,colleges
5,19,2,179,class_inclusion,table,picnic-table,monitor
5,20,2,95,case_relations,panther,fangs,sing
6,1,2,45,attribute,chicken,edible,rainbow
6,2,2,244,contrast,growth,stagnation,familiar
6,3,2,52,case_relations,bang,gavel,government
6,4,3,275,non_attribute,dust,clean,skyscraper
6,5,3,107,cause_purpose,concerts,music,boiler
6,6,3,393,reference,report,event,motif
6,7,3,436,similar,preserve,jam,warning
6,8,2,148,cause_purpose,politician,legislation,punches
6,9,1,78,case_relations,unravel,yarn,nodded
6,10,1,411,similar,predicted,guessed,instant
6,11,1,384,reference,representatives,referent,estimates
6,12,2,361,reference,symbols,entity,handshake
6,13,1,136,cause_purpose,smiles,happiness,pinch
6,14,1,385,reference,catalog,list,likeness
6,15,3,10,attribute,grids,measured,eruption
6,16,1,317,part_whole,storage,box,labour
6,17,2,31,attribute,squirrel,nimble,song
6,18,1,438,similar,fathers,parents,prize
6,19,3,246,contrast,ending,beginning,defend
6,20,2,23,attribute,sirens,audible,branches
7,1,1,422,similar,bothers,annoys,estimate
7,2,3,69,case_relations,subscribe,channel,rains
7,3,2,385,reference,catalog,list,likeness
7,4,2,73,case_relations,digs,grave,bang
7,5,3,464,space_time,dock,plank,wartime
7,6,3,431,similar,wounded,injured,soften
7,7,1,141,cause_purpose,poisons,illness,punches
7,8,2,489,space_time,colleges,professors,dock
7,9,1,71,case_relations,operators,train,panther
7,10,2,469,space_time,weekends,Sautrday,outdoors
7,11,2,379,reference,debt,value,bets
7,12,3,90,case_relations,wolverine,claw,nodded
7,13,2,275,non_attribute,dust,clean,skyscraper
7,14,1,225,contrast,growth,plateau,permits
7,15,3,445,similar,bothers,irritates,classes
7,16,1,92,case_relations,proclaim,speech,shaves
7,17,3,386,reference,likeness,face,plan
7,18,3,136,cause_purpose,smiles,happiness,pinch
7,19,1,54,case_relations,pirates,hook,academics
7,20,2,439,similar,delight,joy,involved
8,1,1,151,class_inclusion,exams,SAT,brand
8,2,1,193,class_inclusion,fitness,cardiovascular,harm
8,3,2,238,contrast,forgotten,reminded,advanced
8,4,1,368,reference,discography,artist,writings
8,5,2,26,attribute,pasta,delicious,eruption
8,6,3,73,case_relations,digs,grave,bang
8,7,2,304,part_whole,scissors,blade,gym
8,8,1,444,similar,presents,showcases,beast
8,9,1,401,similar,goodbye,farewell,awful
8,10,1,93,case_relations,canceling,plans,crabs
8,11,3,153,class_inclusion,fitness,flexibility,tribes
8,12,3,398,reference,coupon,deal,syllabus
8,13,2,173,class_inclusion,situation,first-date,outfit
8,14,3,362,reference,calendars,date,capsule
8,15,1,143,cause_purpose,applauding,bows,cars
8,16,3,485,space_time,colleges,classes,autumn
8,17,3,288,non_attribute,excitement,bored,sunroof
8,18,2,7,attribute,farmers,agricultural,injury
8,19,3,443,similar,classes,seminars,irritation
8,20,2,19,attribute,parties,fun,dish
9,1,2,366,reference,symbols,objects,passports
9,2,3,448,similar,sprung,emerged,notions
9,3,1,453,space_time,woods,tree,carnival
9,4,3,166,class_inclusion,crafts,knitting,craftsmen
9,5,1,450,similar,upsetting,disturbing,predicted
9,6,2,493,space_time,disneyland,lines,lakes
9,7,1,64,case_relations,smoker,cigarette,dodge
9,8,3,289,non_attribute,air,wet,disinformation
9,9,1,48,attribute,branches,twiggy,appointment
9,10,2,77,case_relations,eat,brunch,sketch
9,11,3,441,similar,estimate,conjecture,delight
9,12,2,468,space_time,space,asteroid,greece
9,13,2,20,attribute,cake,sugary,matrices
9,14,2,189,class_inclusion,story,legend,toes
9,15,1,488,space_time,woods,deer,village
9,16,3,94,case_relations,traveler,luggage,waste
9,17,1,67,case_relations,subscribe,netflix,educate
9,18,3,21,attribute,dish,flat,cowboy
9,19,2,115,cause_purpose,pirates,shipwreck,lecturers
9,20,1,398,reference,coupon,deal,syllabus
10,1,1,283,non_attribute,torpedo,sluggish,disinformation
10,2,3,453,space_time,woods,tree,carnival
10,3,1,415,similar,amazing,great,presented
10,4,1,379,reference,debt,value,bets
10,5,2,176,class_inclusion,action,exit,tribes
10,6,3,383,reference,memoir,story,prizes
10,7,1,75,case_relations,broadcast,show,dentist
10,8,3,277,non_attribute,loves,resentful,nervousness
10,9,2,306,part_whole,instrumentation,percussion,outfit
10,10,2,384,reference,representatives,referent,estimates
10,11,2,136,cause_purpose,smiles,happiness,pinch
10,12,2,164,class_inclusion,sport,golf,craftsmen
10,13,1,172,class_inclusion,lakes,Superior,section
10,14,3,370,reference,token,value,agendas
10,15,3,468,space_time,space,asteroid,greece
10,16,1,349,part_whole,labour,boss,basket
10,17,3,212,contrast,feminine,masculine,contracts
10,18,3,29,attribute,woods,dense,elephants
10,19,2,325,part_whole,organs,lungs,storage
10,20,2,143,cause_purpose,applauding,bows,cars
11,1,2,381,reference,questionnaires,population,diagram
11,2,3,297,non_attribute,fairytale,truthful,torpedo
11,3,1,267,non_attribute,athlete,unathletic,weights
11,4,2,110,cause_purpose,pirates,raids,blender
11,5,3,252,non_attribute,athlete,overweight,injustices
11,6,1,201,contrast,intellectual,stupid,functional
11,7,2,330,part_whole,cow,udder,labour
11,8,3,308,part_whole,militia,soldier,church
11,9,3,213,contrast,rejects,accepts,advanced
11,10,2,129,cause_purpose,waste,disposal,wineries
11,11,1,268,non_attribute,land,liquid,rains
11,12,1,287,non_attribute,gibberish,english,tornado
11,13,2,144,cause_purpose,blossom,flowers,custodian
11,14,3,33,attribute,taxi,callable,popcorn
11,15,1,496,space_time,carnival,ferris-wheel,residence
11,16,3,215,contrast,preserved,wasted,straight
11,17,1,177,class_inclusion,situation,interview,dimension
11,18,1,237,contrast,specialized,generalized,forgotten
11,19,3,122,cause_purpose,alarm,alertness,question
11,20,2,302,part_whole,basket,handle,tomb
12,1,1,333,part_whole,subway,sandwich,midwest
12,2,3,290,non_attribute,riches,broke,dust
12,3,2,343,part_whole,analysis,unit,demonstration
12,4,1,25,attribute,fires,warm,heroin
12,5,1,446,similar,teaching,instructing,classes
12,6,2,356,reference,estimates,quantities,flashback
12,7,2,462,space_time,village,hut,dock
12,8,3,44,attribute,rat,mouselike,films
12,9,3,106,cause_purpose,shoes,protection,waste
12,10,3,22,attribute,thorn,spikey,squirrel
12,11,1,197,class_inclusion,action,laughing,relative
12,12,1,400,reference,badge,accomplishment,estimates
12,13,3,143,cause_purpose,applauding,bows,cars
12,14,2,118,cause_purpose,alarm,waking,sickness
12,15,2,406,similar,fathers,dads,presents
12,16,2,472,space_time,conferences,keynotes,space
12,17,2,206,contrast,broke,fixed,applied
12,18,1,183,class_inclusion,regimes,Taliban,chemical
12,19,3,303,part_whole,profile,bio,prison
12,20,1,395,reference,brand,style,diagram
13,1,2,68,case_relations,sing,song,pirates
13,2,3,87,case_relations,erase,mistake,smoker
13,3,3,344,part_whole,basket,exterior,story
13,4,2,253,non_attribute,heights,shallow,zombies
13,5,1,380,reference,agendas,schedules,news
13,6,2,22,attribute,thorn,spikey,squirrel
13,7,2,352,reference,news,event,questionnaires
13,8,1,217,contrast,forgotten,remembered,withdraw
13,9,2,199,class_inclusion,instrumentation,brass,toes
13,10,3,390,reference,address,location,polls
13,11,2,219,contrast,growth,shrinkage,fat
13,12,3,79,case_relations,pupil,pencil,broadcast
13,13,1,340,part_whole,galaxy,planet,cabinet
13,14,3,120,cause_purpose,pinch,pain,bang
13,15,1,220,contrast,equals,approximates,growth
13,16,2,229,contrast,harder,easier,defend
13,17,1,104,cause_purpose,ovens,burning,custodian
13,18,3,96,case_relations,educate,tutorial,canceling
13,19,3,251,non_attribute,gibberish,sensical,terror
13,20,1,178,class_inclusion,lakes,Eerie,analysis
14,1,1,461,space_time,lakes,wildlife,nights
14,2,2,186,class_inclusion,education,highschool,charts
14,3,2,138,cause_purpose,snowing,snowdays,stomach
14,4,1,364,reference,coupon,discount,brand
14,5,3,474,space_time,conferences,meetings,village
14,6,3,263,non_attribute,excitement,collected,bang
14,7,3,395,reference,brand,style,diagram
14,8,3,32,attribute,films,artistic,greece
14,9,3,262,non_attribute,injustices,fair,tornado
14,10,2,130,cause_purpose,kettle,boil,boiler
14,11,1,113,cause_purpose,blender,puree,wineries
14,12,2,28,attribute,hens,fluffy,sirens
14,13,2,260,non_attribute,mistakes,accurate,terror
14,14,1,59,case_relations,competitors,race,journalists
14,15,1,439,similar,delight,joy,involved
14,16,2,248,contrast,plain,detailed,applied
14,17,3,97,case_relations,rains,umbrella,waste
14,18,3,199,class_inclusion,instrumentation,brass,toes
14,19,1,471,space_time,clinics,doctor,graveyard
14,20,1,196,class_inclusion,charts,pie-chart,chemical
15,1,2,421,similar,notions,ideas,fathers
15,2,3,194,class_inclusion,education,elementary,section
15,3,3,196,class_inclusion,charts,pie-chart,chemical
15,4,2,327,part_whole,labour,worker,spacecraft
15,5,3,36,attribute,manhattan,busy,logs
15,6,1,45,attribute,chicken,edible,rainbow
15,7,1,28,attribute,hens,fluffy,sirens
15,8,1,9,attribute,eruption,hot,comedy
15,9,2,375,reference,handshake,agreement,symbols
15,10,2,414,similar,wounded,hurt,nicer
15,11,2,332,part_whole,maps,scale,labour
15,12,1,300,non_attribute,blossom,wintry,bang
15,13,1,228,contrast,functional,broken,utility
15,14,2,34,attribute,matrices,organized,diamonds
15,15,1,249,contrast,goodness,evil,intellectual
15,16,3,466,space_time,heaven,angel,subway
15,17,3,178,class_inclusion,lakes,Eerie,analysis
15,18,2,346,part_whole,catalogue,record,conference
15,19,3,39,attribute,eruption,volcanic,injury
15,20,1,490,space_time,daytime,sun,holidays
16,1,2,30,attribute,junk,trashy,eruption
16,2,3,422,similar,bothers,annoys,estimate
16,3,1,115,cause_purpose,pirates,shipwreck,lecturers
16,4,1,120,cause_purpose,pinch,pain,bang
16,5,1,148,cause_purpose,politician,legislation,punches
16,6,3,6,attribute,torpedoes,underwater,yards
16,7,1,227,contrast,advances,setbacks,familiar
16,8,3,457,space_time,colleges,building,manhattan
16,9,1,72,case_relations,smoker,pipe,bang
16,10,2,82,case_relations,educate,classroom,broadcast
16,11,1,286,non_attribute,tornado,still,overheating
16,12,3,133,cause_purpose,politician,laws,concerts
16,13,2,9,attribute,eruption,hot,comedy
16,14,2,440,similar,classes,courses,presented
16,15,2,353,reference,pronoun,object,listing
16,16,2,61,case_relations,pupil,exam,businessman
16,17,3,228,contrast,functional,broken,utility
16,18,3,305,part_whole,chicken,thigh,gym
16,19,2,170,class_inclusion,outfit,swimwear,table
16,20,3,392,reference,disciplines,ideas,coupon
17,1,2,358,reference,likeness,person,agendas
17,2,1,112,cause_purpose,academics,learning,kettle
17,3,1,345,part_whole,catalogue,item,demonstration
17,4,2,257,non_attribute,overheating,cool,junior
17,5,3,91,case_relations,traveler,flight,crabs
17,6,1,392,reference,disciplines,ideas,coupon
17,7,3,26,attribute,pasta,delicious,eruption
17,8,3,325,part_whole,organs,lungs,storage
17,9,2,449,similar,notions,concepts,prize
17,10,1,292,non_attribute,rains,dehydrated,smiles
17,11,2,395,reference,brand,style,diagram
17,12,3,411,similar,predicted,guessed,instant
17,13,1,147,cause_purpose,pencils,notetaking,stomach
17,14,3,17,attribute,aluminum,thin,copper
17,15,1,117,cause_purpose,blossom,bloom,blender
17,16,3,43,attribute,sunshine,radiant,branches
17,17,2,335,part_whole,earth,sea,radiator
17,18,3,279,non_attribute,dust,prestine,silk
17,19,2,86,case_relations,wastes,trash,pupil
17,20,1,416,similar,preserve,keep,breaking
18,1,1,262,non_attribute,injustices,fair,tornado
18,2,3,435,similar,tough,chewy,pretend
18,3,2,309,part_whole,tomb,stone,table
18,4,1,137,cause_purpose,concerts,noise,question
18,5,3,227,contrast,advances,setbacks,familiar
18,6,2,234,contrast,breaks,accelerates,ending
18,7,3,364,reference,coupon,discount,brand
18,8,2,432,similar,outstanding,fantastic,sprung
18,9,2,378,reference,token,object,bets
18,10,1,23,attribute,sirens,audible,branches
18,11,1,321,part_whole,evaluation,rating,transportation
18,12,3,177,class_inclusion,situation,interview,dimension
18,13,1,271,non_attribute,trash,clean,dust
18,14,3,103,cause_purpose,boiler,heat,movie
18,15,2,349,part_whole,labour,boss,basket
18,16,2,318,part_whole,maps,legend,cabinet
18,17,3,24,attribute,branches,spikey,pumpkin
18,18,1,116,cause_purpose,government,rules,dogs
18,19,1,202,contrast,defend,attack,contracts
18,20,2,89,case_relations,dodge,danger,sketch
19,1,1,403,similar,creature,animal,buck
19,2,2,499,space_time,kansas,farm,resorts
19,3,1,464,space_time,dock,plank,wartime
19,4,3,82,case_relations,educate,classroom,broadcast
19,5,2,208,contrast,contracts,expands,functional
19,6,2,331,part_whole,countryside,plain,telescope
19,7,3,37,attribute,squirrel,furry,air
19,8,1,257,non_attribute,overheating,cool,junior
19,9,3,116,cause_purpose,government,rules,dogs
19,10,1,214,contrast,depart,stay,ending
19,11,3,452,space_time,rivers,water,oxford
19,12,3,85,case_relations,academics,lecture,panther
19,13,2,203,contrast,lies,truths,rejects
19,14,1,414,similar,wounded,hurt,nicer
19,15,3,327,part_whole,labour,worker,spacecraft
19,16,2,106,cause_purpose,shoes,protection,waste
19,17,1,436,similar,preserve,jam,warning
19,18,2,376,reference,vouchers,discount,marker
19,19,3,3,attribute,torpedoes,rapid,cube
19,20,2,245,contrast,intellectual,idiotic,rejects
20,1,3,34,attribute,matrices,organized,diamonds
20,2,2,284,non_attribute,ovens,frozen,mistakes
20,3,1,250,contrast,keeping,leaving,lesser
20,4,1,301,part_whole,midwest,Illinois,analysis
20,5,3,130,cause_purpose,kettle,boil,boiler
20,6,3,152,class_inclusion,tribes,Navajo,organs
20,7,3,345,part_whole,catalogue,item,demonstration
20,8,2,53,case_relations,catcher,glove,leaking
20,9,1,421,similar,notions,ideas,fathers
20,10,1,314,part_whole,demonstration,example,countryside
20,11,1,180,class_inclusion,attachment,file,storage
20,12,2,213,contrast,rejects,accepts,advanced
20,13,3,368,reference,discography,artist,writings
20,14,2,85,case_relations,academics,lecture,panther
20,15,2,291,non_attribute,dwarfs,giant,enemies
20,16,2,380,reference,agendas,schedules,news
20,17,3,484,space_time,graveyard,tomb,homes
20,18,3,52,case_relations,bang,gavel,government
20,19,1,210,contrast,broken,amended,wisdom
20,20,1,293,non_attribute,spark,dull,diamonds
21,1,3,1,attribute,sirens,loud,aluminum
21,2,2,345,part_whole,catalogue,item,demonstration
21,3,1,278,non_attribute,disinformation,real,torpedo
21,4,3,264,non_attribute,routine,new,skyscraper
21,5,3,68,case_relations,sing,song,pirates
21,6,2,132,cause_purpose,smiles,joy,threat
21,7,1,279,non_attribute,dust,prestine,silk
21,8,1,337,part_whole,earth,land,evaluation
21,9,2,359,reference,news,incidence,motif
21,10,2,444,similar,presents,showcases,beast
21,11,1,6,attribute,torpedoes,underwater,yards
21,12,2,124,cause_purpose,academics,papers,lecturers
21,13,1,138,cause_purpose,snowing,snowdays,stomach
21,14,3,476,space_time,wartime,weapon,holiday
21,15,3,311,part_whole,arrows,arrowhead,prison
21,16,1,119,cause_purpose,meme,laughter,mug
21,17,1,381,reference,questionnaires,population,diagram
21,18,2,156,class_inclusion,capability,athleticism,relationship
21,19,3,15,attribute,cowboy,texan,fires
21,20,2,251,non_attribute,gibberish,sensical,terror
22,1,2,101,cause_purpose,blossom,flower,coin
22,2,2,60,case_relations,government,legislation,shaves
22,3,3,46,attribute,matrices,rectangular,fires
22,4,2,155,class_inclusion,regimes,Nazis,craftsmen
22,5,3,412,similar,instant,second,bothers
22,6,3,207,contrast,encouraging,discouraging,utility
22,7,3,154,class_inclusion,wines,Cabernet,capability
22,8,2,377,reference,units,quantities,labels
22,9,3,232,contrast,smooth,difficult,defend
22,10,1,324,part_whole,education,class,conference
22,11,2,256,non_attribute,loves,hateful,dwarfs
22,12,3,42,attribute,diamonds,bright,fires
22,13,1,369,reference,certifications,qualifications,handshake
22,14,1,474,space_time,conferences,meetings,village
22,15,3,200,class_inclusion,turtles,snapping,soap
22,16,1,393,reference,report,event,motif
22,17,2,263,non_attribute,excitement,collected,bang
22,18,1,431,similar,wounded,injured,soften
22,19,2,180,class_inclusion,attachment,file,storage
22,20,1,482,space_time,woods,leaves,lakes
23,1,1,500,space_time,nights,blackness,venice
23,2,2,277,non_attribute,loves,resentful,nervousness
23,3,1,494,space_time,clinics,patient,nights
23,4,3,335,part_whole,earth,sea,radiator
23,5,2,438,similar,fathers,parents,prize
23,6,1,132,cause_purpose,smiles,joy,threat
23,7,3,461,space_time,lakes,wildlife,nights
23,8,3,172,class_inclusion,lakes,Superior,section
23,9,2,58,case_relations,bang,bomb,proclaim
23,10,3,270,non_attribute,fossils,modern,dwarfs
23,11,1,469,space_time,weekends,Sautrday,outdoors
23,12,1,309,part_whole,tomb,stone,table
23,13,1,290,non_attribute,riches,broke,dust
23,14,3,424,similar,warning,alarm,icy
23,15,2,273,non_attribute,diamonds,rusted,relic
23,16,2,72,case_relations,smoker,pipe,bang
23,17,3,382,reference,listing,item,sirens
23,18,2,250,contrast,keeping,leaving,lesser
23,19,3,245,contrast,intellectual,idiotic,rejects
23,20,1,162,class_inclusion,story,fairytale,regimes
24,1,1,42,attribute,diamonds,bright,fires
24,2,2,329,part_whole,knight,helmet,church
24,3,1,203,contrast,lies,truths,rejects
24,4,2,322,part_whole,skirt,waistband,furnace
24,5,2,87,case_relations,erase,mistake,smoker
24,6,3,57,case_relations,shaves,hair,charges
24,7,1,288,non_attribute,excitement,bored,sunroof
24,8,3,211,contrast,starts,ends,preserved
24,9,2,159,class_inclusion,sport,badminton,instrumentation
24,10,1,432,similar,outstanding,fantastic,sprung
24,11,2,14,attribute,sirens,piercing,pasta
24,12,2,382,reference,listing,item,sirens
24,13,1,5,attribute,farmers,natural,fires
24,14,1,491,space_time,nights,darkness,dusk
24,15,3,331,part_whole,countryside,plain,telescope
24,16,2,320,part_whole,portfolio,paper,basket
24,17,3,204,contrast,broke,rich,direct
24,18,1,110,cause_purpose,pirates,raids,blender
24,19,3,53,case_relations,catcher,glove,leaking
24,20,3,419,similar,preserve,jelly,tough
25,1,3,5,attribute,farmers,natural,fires
25,2,3,217,contrast,forgotten,remembered,withdraw
25,3,3,363,reference,notes,material,report
25,4,2,153,class_inclusion,fitness,flexibility,tribes
25,5,1,167,class_inclusion,craftsmen,blacksmith,tier
25,6,1,440,similar,classes,courses,presented
25,7,2,419,similar,preserve,jelly,tough
25,8,2,258,non_attribute,nervousness,calm,gibberish
25,9,1,265,non_attribute,rains,dry,trash
25,10,2,17,attribute,aluminum,thin,copper
25,11,2,500,space_time,nights,blackness,venice
25,12,3,313,part_whole,basket,rim,midwest
25,13,1,352,reference,news,event,questionnaires
25,14,2,55,case_relations,erase,eraser,unravel
25,15,2,289,non_attribute,air,wet,disinformation
25,16,1,382,reference,listing,item,sirens
25,17,3,284,non_attribute,ovens,frozen,mistakes
25,18,3,493,space_time,disneyland,lines,lakes
25,19,3,132,cause_purpose,smiles,joy,threat
25,20,1,428,similar,beauty,elegance,delight
26,1,2,67,case_relations,subscribe,netflix,educate
26,2,2,145,cause_purpose,ovens,cooking,meme
26,3,2,281,non_attribute,mistakes,correct,fires
26,4,1,238,contrast,forgotten,reminded,advanced
26,5,3,243,contrast,functional,faulty,lies
26,6,3,16,attribute,rat,nocturnal,logs
26,7,1,223,contrast,advances,retracts,keeping
26,8,3,54,case_relations,pirates,hook,academics
26,9,3,220,contrast,equals,approximates,growth
26,10,1,83,case_relations,eat,snack,broadcast
26,11,1,307,part_whole,evaluation,question,crafts
26,12,3,401,similar,goodbye,farewell,awful
26,13,1,39,attribute,eruption,volcanic,injury
26,14,1,144,cause_purpose,blossom,flowers,custodian
26,15,3,377,reference,units,quantities,labels
26,16,3,63,case_relations,government,laws,stamping
26,17,2,120,cause_purpose,pinch,pain,bang
26,18,1,125,cause_purpose,journalists,articles,cavity
26,19,2,261,non_attribute,cookie,frozen,fluid
26,20,2,104,cause_purpose,ovens,burning,custodian
27,1,3,321,part_whole,evaluation,rating,transportation
27,2,1,259,non_attribute,error,correct,fairytale
27,3,1,327,part_whole,labour,worker,spacecraft
27,4,3,418,similar,wondering,pondering,classes
27,5,3,151,class_inclusion,exams,SAT,brand
27,6,2,181,class_inclusion,exchanges,transaction,skirt
27,7,1,350,part_whole,storage,compartment,radish
27,8,2,247,contrast,tired,energetic,broke
27,9,1,242,contrast,encouraging,demoralizing,enlarged
27,10,3,353,reference,pronoun,object,listing
27,11,2,403,similar,creature,animal,buck
27,12,1,330,part_whole,cow,udder,labour
27,13,1,251,non_attribute,gibberish,sensical,terror
27,14,1,41,attribute,greece,historic,lions
27,15,2,74,case_relations,stamping,letter,competitors
27,16,3,206,contrast,broke,fixed,applied
27,17,3,100,case_relations,stamping,mail,charges
27,18,2,292,non_attribute,rains,dehydrated,smiles
27,19,2,484,space_time,graveyard,tomb,homes
27,20,2,266,non_attribute,bang,quiet,relic
28,1,3,101,cause_purpose,blossom,flower,coin
28,2,1,158,class_inclusion,brand,Nike,soap
28,3,1,449,similar,notions,concepts,prize
28,4,3,296,non_attribute,cookie,inedible,silk
28,5,3,354,reference,kilometers,distance,listing
28,6,3,155,class_inclusion,regimes,Nazis,craftsmen
28,7,1,359,reference,news,incidence,motif
28,8,2,417,similar,beauty,grace,bothers
28,9,2,303,part_whole,profile,bio,prison
28,10,2,342,part_whole,militia,commander,earth
28,11,1,254,non_attribute,enemies,friendly,junior
28,12,3,104,cause_purpose,ovens,burning,custodian
28,13,3,216,contrast,harder,easier,familiar
28,14,2,243,contrast,functional,faulty,lies
28,15,2,259,non_attribute,error,correct,fairytale
28,16,1,476,space_time,wartime,weapon,holiday
28,17,2,70,case_relations,digs,hole,carry
28,18,3,440,similar,classes,courses,presented
28,19,1,316,part_whole,transportation,vehicle,telescope
28,20,2,32,attribute,films,artistic,greece
29,1,2,410,similar,prize,winning,buck
29,2,1,52,case_relations,bang,gavel,government
29,3,2,134,cause_purpose,kettle,heat,sickness
29,4,1,417,similar,beauty,grace,bothers
29,5,3,450,similar,upsetting,disturbing,predicted
29,6,1,29,attribute,woods,dense,elephants
29,7,2,317,part_whole,storage,box,labour
29,8,3,465,space_time,conferences,talk,outdoors
29,9,1,338,part_whole,storage,site,worm
29,10,2,337,part_whole,earth,land,evaluation
29,11,3,186,class_inclusion,education,highschool,charts
29,12,2,415,similar,amazing,great,presented
29,13,2,56,case_relations,dodge,ball,athlete
29,14,1,166,class_inclusion,crafts,knitting,craftsmen
29,15,3,8,attribute,grids,square,indonesia
29,16,3,119,cause_purpose,meme,laughter,mug
29,17,1,499,space_time,kansas,farm,resorts
29,18,3,357,reference,census,population,memoir
29,19,1,341,part_whole,scissors,handle,analysis
29,20,3,454,space_time,conferences,session,cave
30,1,1,377,reference,units,quantities,labels
30,2,3,86,case_relations,wastes,trash,pupil
30,3,3,123,cause_purpose,strikeouts,outs,smiles
30,4,2,470,space_time,metropolis,skyscraper,pier
30,5,2,39,attribute,eruption,volcanic,injury
30,6,1,156,class_inclusion,capability,athleticism,relationship
30,7,3,137,cause_purpose,concerts,noise,question
30,8,1,35,attribute,films,cinematographic,yards
